"Name","Live Births to Mothers on Medicaid"
"Description","The percentage of births to mothers on Medicaid.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, Bureau of Vital Statistics, Summary of Vital Statistics (2000-2017); retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page"" target=""_blank"">https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page</a>"
"Notes","Since 2008 ""On Medicaid"" also includes Family Health Plus, Other government, and Child Health Plus B."

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2016,Percent,0.043,101
Greenwich Village,2016,Percent,0.103,102
Lower East Side,2016,Percent,0.625,103
Chelsea/Clinton,2016,Percent,0.194,104
Midtown Business District,2016,Percent,0.092,105
Murray Hill/Stuyvesant,2016,Percent,0.086,106
Upper West Side,2016,Percent,0.12,107
Upper East Side,2016,Percent,0.055,108
Manhattanville,2016,Percent,0.614,109
Central Harlem,2016,Percent,0.596,110
East Harlem,2016,Percent,0.673,111
Washington Heights,2016,Percent,0.673,112
Mott Haven,2016,Percent,0.881,201
Hunts Point,2016,Percent,0.882,202
Morrisania,2016,Percent,0.869,203
Concourse/Highbridge,2016,Percent,0.872,204
University Heights,2016,Percent,0.888,205
East Tremont,2016,Percent,0.887,206
Bedford Park,2016,Percent,0.853,207
Riverdale,2016,Percent,0.541,208
Unionport/Soundview,2016,Percent,0.825,209
Throgs Neck,2016,Percent,0.661,210
Pelham Parkway,2016,Percent,0.756,211
Williamsbridge,2016,Percent,0.802,212
Williamsburg/Greenpoint,2016,Percent,0.623,301
Fort Greene/Brooklyn Hts,2016,Percent,0.18,302
Bedford Stuyvesant,2016,Percent,0.689,303
Bushwick,2016,Percent,0.77,304
East New York,2016,Percent,0.801,305
Park Slope,2016,Percent,0.168,306
Sunset Park,2016,Percent,0.754,307
Crown Heights North,2016,Percent,0.503,308
Crown Heights South,2016,Percent,0.696,309
Bay Ridge,2016,Percent,0.574,310
Bensonhurst,2016,Percent,0.726,311
Borough Park,2016,Percent,0.788,312
Coney Island,2016,Percent,0.765,313
Flatbush/Midwood,2016,Percent,0.665,314
Sheepshead Bay,2016,Percent,0.59,315
Brownsville,2016,Percent,0.801,316
East Flatbush,2016,Percent,0.716,317
Canarsie,2016,Percent,0.579,318
Astoria,2016,Percent,0.483,401
Sunnyside/Woodside,2016,Percent,0.462,402
Jackson Heights,2016,Percent,0.814,403
Elmhurst/Corona,2016,Percent,0.833,404
Ridgewood/Glendale,2016,Percent,0.59,405
Rego Park/Forest Hills,2016,Percent,0.348,406
Flushing,2016,Percent,0.75,407
Fresh Meadows/Briarwood,2016,Percent,0.596,408
Woodhaven,2016,Percent,0.698,409
Howard Beach,2016,Percent,0.618,410
Bayside,2016,Percent,0.516,411
Jamaica/St. Albans,2016,Percent,0.693,412
Queens Village,2016,Percent,0.592,413
The Rockaways,2016,Percent,0.663,414
St. George,2016,Percent,0.593,501
South Beach,2016,Percent,0.422,502
Tottenville,2016,Percent,0.23,503
Battery Park/Tribeca,2015,Percent,0.048,101
Greenwich Village,2015,Percent,0.09,102
Lower East Side,2015,Percent,0.625,103
Chelsea/Clinton,2015,Percent,0.235,104
Midtown Business District,2015,Percent,0.096,105
Murray Hill/Stuyvesant,2015,Percent,0.066,106
