"Name","Teen Births"
"Description","<g class=""gr_ gr_3 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""3"" data-gr-id=""3"">Number</g> of births to teenage mothers younger than 20 years old, per 1,000 teenage girls aged 15 to 19. Citywide births represent the total number of teen births to occur in New York City. Borough and community district totals represent teen births to NYC residents only."
"Source Notes","New York City Department of Health and Mental Hygiene, Bureau of Vital Statistics, Summary of Vital Statistics (2002-2017); retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page"" target=""_blank"">https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page</a><br />
<br />
Teen Birth Rates retrieved from:&nbsp;New York City Department of Health and Mental Hygiene. Epiquery: NYC Interactive Health Data System - Birth Data (2000-2016); <a href=""https://a816-healthpsi.nyc.gov/epiquery/"" target=""_blank""><a href=""https://a816-health.nyc.gov/hdi/epiquery/"" target=""_blank"">https://a816-health.nyc.gov/hdi/epiquery/</a></a>;&nbsp;Unpublished Vital Statistics data (2017)&nbsp;"
"Notes","Vital Statistics combines three years of data to provide live births for teenage mothers by community district (for example 2017 = 2015, 2016, and 2017). Borough and city totals represent data for one year.&nbsp;"

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2017,Number,3,101
Greenwich Village,2017,Number,5,102
Lower East Side,2017,Number,100,103
Chelsea/Clinton,2017,Number,43,104
Midtown Business District,2017,Number,10,105
Murray Hill/Stuyvesant,2017,Number,15,106
Upper West Side,2017,Number,53,107
Upper East Side,2017,Number,13,108
Manhattanville,2017,Number,135,109
Central Harlem,2017,Number,174,110
East Harlem,2017,Number,211,111
Washington Heights,2017,Number,260,112
Mott Haven,2017,Number,353,201
Hunts Point,2017,Number,160,202
Morrisania,2017,Number,260,203
Concourse/Highbridge,2017,Number,423,204
University Heights,2017,Number,421,205
East Tremont,2017,Number,268,206
Bedford Park,2017,Number,356,207
Riverdale,2017,Number,88,208
Unionport/Soundview,2017,Number,396,209
Throgs Neck,2017,Number,99,210
Pelham Parkway,2017,Number,173,211
Williamsbridge,2017,Number,308,212
Williamsburg/Greenpoint,2017,Number,189,301
Fort Greene/Brooklyn Hts,2017,Number,76,302
Bedford Stuyvesant,2017,Number,261,303
Bushwick,2017,Number,231,304
East New York,2017,Number,475,305
Park Slope,2017,Number,50,306
Sunset Park,2017,Number,212,307
Crown Heights North,2017,Number,119,308
Crown Heights South,2017,Number,77,309
Bay Ridge,2017,Number,74,310
Bensonhurst,2017,Number,142,311
Borough Park,2017,Number,287,312
Coney Island,2017,Number,150,313
